0#1#2#1#us-east-1#python3.7#128#coldstart44739214#e42462df-df5d-4f5f-b449-1081f67dbcdb#e42462df-df5d-4f5f-b449-1081f67dbcdb#sandbox-root-NS04zU#sandbox-service-360ee1#169.254.29.93#b'3.229.122.60'#169.254.76.1#799.52;1597.66#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593844743399.3118#1593844747107.1873#3707.87548828125#1593844742045.282#1593844868847.626#126802.34399414062
0#1#2#0#us-east-1#python3.7#128#coldstart44736472#b5ba85a9-7fc3-4e8b-8132-bffd5d617758#b5ba85a9-7fc3-4e8b-8132-bffd5d617758#sandbox-root-TyvN75#sandbox-service-affde0#169.254.42.101#b'3.89.120.233'#169.254.76.1#1117.44;2232.56#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593844742973.3135#1593844747139.3503#4166.036865234375#1593844742052.814#1593844868855.3801#126802.56616210938
0#2#2#0#us-east-1#python3.7#128#coldstart44736472#b898482d-6b12-4abd-88d1-3ea3469631ec#2b357431-1dca-4de8-9b2b-959059911640#sandbox-root-J3xYz4#sandbox-service-45c5bd#169.254.121.133#b'3.235.11.95'#169.254.76.1#2079.48;4152.34#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593844869718.067#1593844874121.2207#4403.15380859375#1593844869206.886#1593844995909.7742#126702.88818359375
0#2#2#1#us-east-1#python3.7#128#coldstart44739214#e42462df-df5d-4f5f-b449-1081f67dbcdb#1255bc07-2720-4fe9-b5f8-908492c063c5#sandbox-root-NS04zU#sandbox-service-360ee1#169.254.29.93#b'3.229.122.60'#169.254.76.1#926.64;1851.13#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593844870873.1323#1593844874148.1423#3275.010009765625#1593844869215.45#1593844995914.428#126698.97802734375
0#1#2#1#us-east-1#python3.7#3008#coldstart44999917#fd4b2de6-c946-4898-b611-0c4de7cdb1e3#fd4b2de6-c946-4898-b611-0c4de7cdb1e3#sandbox-root-oi23rF#sandbox-service-8fe313#169.254.214.109#b'54.162.255.237'#169.254.76.1#4377.53;8748.63#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845003251.4077#1593845007801.8381#4550.430419921875#1593845002762.1938#1593845129551.7559#126789.56201171875
0#1#2#0#us-east-1#python3.7#3008#coldstart44997428#242a95c4-dea4-4494-a9c1-d65709c53611#242a95c4-dea4-4494-a9c1-d65709c53611#sandbox-root-Fj3uj7#sandbox-service-68252e#169.254.94.101#b'3.236.113.64'#169.254.76.1#2911.06;5816.23#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845003375.3196#1593845007899.908#4524.58837890625#1593845002751.001#1593845129611.1729#126860.171875
0#2#2#0#us-east-1#python3.7#3008#coldstart44997428#9097ee9d-9732-4eaf-9208-3d714462debe#9f75bb13-8061-418f-b8b0-c89de2f14c7b#sandbox-root-EEEarT#sandbox-service-6a0d80#169.254.100.77#b'34.227.163.238'#169.254.76.1#4436.43;8740.70#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845130958.406#1593845134833.624#3875.218017578125#1593845129973.5469#1593845256627.7349#126654.18798828125
0#2#2#1#us-east-1#python3.7#3008#coldstart44999917#f4638b7a-64f8-45bb-8c83-888f7406356a#e770e465-86aa-4e35-8c3a-23a1f6f79e7b#sandbox-root-sbxLWN#sandbox-service-2ede6c#169.254.126.133#b'3.221.155.223'#169.254.76.1#4358.56;8645.82#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845130336.3074#1593845134935.26#4598.95263671875#1593845129981.2368#1593845256636.559#126655.322265625
1#1#2#0#us-east-1#python3.7#128#coldstart45258033#e6ba7ab2-d6f3-408d-b227-d719729a9491#e6ba7ab2-d6f3-408d-b227-d719729a9491#sandbox-root-PRZknf#sandbox-service-1ea508#169.254.123.133#b'52.87.254.78'#169.254.76.1#2164.50;4326.82#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845263590.9353#1593845268331.1396#4740.204345703125#1593845263351.744#1593845390026.418#126674.67407226562
1#1#2#1#us-east-1#python3.7#128#coldstart45260519#9011daee-702e-44f8-b473-a72e31f0f4ae#9011daee-702e-44f8-b473-a72e31f0f4ae#sandbox-root-jpLAUp#sandbox-service-988001#169.254.117.237#b'3.88.20.59'#169.254.76.1#1360.16;2718.00#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845265127.4036#1593845268353.392#3225.988525390625#1593845263358.9302#1593845390050.97#126692.03979492188
1#2#2#1#us-east-1#python3.7#128#coldstart45260519#e61580bc-7e23-4567-b841-9310db36c350#920466e8-f617-4e6b-949b-bede3be2ea46#sandbox-root-yKoPa1#sandbox-service-5e6070#169.254.155.205#b'3.231.229.221'#169.254.76.1#1201.78;2392.04#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845390851.4583#1593845395303.443#4451.98486328125#1593845390412.956#1593845517024.406#126611.44995117188
1#2#2#0#us-east-1#python3.7#128#coldstart45258033#e6ba7ab2-d6f3-408d-b227-d719729a9491#ba7ebd4f-b5c9-41a6-a183-f7b3b304189e#sandbox-root-PRZknf#sandbox-service-1ea508#169.254.123.133#b'52.87.254.78'#169.254.76.1#2291.58;4580.95#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845391241.4067#1593845395393.8293#4152.422607421875#1593845390420.5278#1593845517090.991#126670.46313476562
1#1#2#1#us-east-1#python3.7#3008#coldstart45521326#ba95abac-ff0b-40e2-ba34-a86d5104294b#ba95abac-ff0b-40e2-ba34-a86d5104294b#sandbox-root-aT3gJD#sandbox-service-3b537e#169.254.245.229#b'18.205.188.1'#169.254.76.1#4272.77;8540.45#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845526185.4482#1593845529120.203#2934.754638671875#1593845524057.314#1593845650859.4028#126802.0888671875
1#1#2#0#us-east-1#python3.7#3008#coldstart45518613#d95349dd-b7d7-46d6-9c6c-0758635da022#d95349dd-b7d7-46d6-9c6c-0758635da022#sandbox-root-hVIPuP#sandbox-service-7497e7#169.254.26.37#b'54.167.69.160'#169.254.76.1#1925.55;3846.45#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845525549.6094#1593845529117.992#3568.382568359375#1593845524050.395#1593845650863.528#126813.13305664062
1#2#2#1#us-east-1#python3.7#3008#coldstart45521326#82427cb6-71b9-4a1c-85b2-3efcb1cb7ad7#f659b4b1-b216-4660-9257-8affd090fbba#sandbox-root-1vFpVt#sandbox-service-2df77c#169.254.218.13#b'100.25.183.87'#169.254.76.1#4000.04;7868.73#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845653098.6719#1593845656090.6348#2991.962890625#1593845651243.947#1593845777831.9558#126588.0087890625
1#2#2#0#us-east-1#python3.7#3008#coldstart45518613#0f55f3e9-dfd8-419c-9344-7d3eaa695559#944603f8-feff-421a-847a-4f80a5c28fbc#sandbox-root-EcRHmz#sandbox-service-aac1f4#169.254.138.117#b'34.205.134.123'#169.254.76.1#3529.02;6986.05#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593845651426.657#1593845656179.067#4752.409912109375#1593845651200.1829#1593845777861.501#126661.31811523438