0#1#1#0#us-east-1#python2.7#576#scale71000139#f574cdff-752a-4d8c-ab5e-ac2fef3c5b91#f574cdff-752a-4d8c-ab5e-ac2fef3c5b91#sandbox-root-FQ7fI5#sandbox-ffe89a#169.254.196.5#3.92.165.172#169.254.76.1#2384.48,4749.64#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593670949770.189#1593671003204.965#53434.776123046875#1593671003020.7688#1593671117999.0088#114978.23999023438
0#1#5#0#us-east-1#python2.7#896#scale71118733#9f47ad86-6439-43ce-bf91-7b1e5baafc2a#9f47ad86-6439-43ce-bf91-7b1e5baafc2a#sandbox-root-zSSJwp#sandbox-28e4a8#169.254.61.93#54.208.191.221#169.254.76.1#2731.22,5433.25#2,Intel(R;) Xeon(R;) Processo;r ;@ 2.50GHz#1593671081235.2441#1593671134303.914#53068.669921875#1593671134645.243#1593671249167.657#114522.4140625
0#1#5#2#us-east-1#python2.7#2240#scale71124149#a7297549-776a-40b8-87cd-85737f6734b5#a7297549-776a-40b8-87cd-85737f6734b5#sandbox-root-o8klme#sandbox-91654c#169.254.81.101#3.223.191.105#169.254.76.1#4111.44,8169.15#2,Intel(;R) Xeon(;R) Process;or; @ 2.50GHz#1593671081915.428#1593671134348.682#52433.25390625#1593671134830.868#1593671249177.478#114346.61010742188
0#1#5#3#us-east-1#python2.7#1344#scale71128954#de855426-a185-4bd2-b044-898f7596a7df#de855426-a185-4bd2-b044-898f7596a7df#sandbox-root-jXXvW0#sandbox-6c50bc#169.254.69.53#34.204.192.212#169.254.76.1#14474.66,28905.56#2,Inte;l(R) Xeo;n(R) Proce;ss;or @ 2.50GHz#1593671081925.139#1593671134358.264#52433.125#1593671134731.58#1593671249180.78#114449.19995117188
0#1#5#4#us-east-1#python2.7#2176#scale71131411#1f15ead8-6bae-48bc-b71f-3304526d6e4f#1f15ead8-6bae-48bc-b71f-3304526d6e4f#sandbox-root-KrGgVo#sandbox-e3051d#169.254.254.205#3.236.89.160#169.254.76.1#3666.14,7276.84#2,Intel(;R) Xeon(;R) Process;or; @ 2.50GHz#1593671081275.2048#1593671134327.421#53052.216064453125#1593671134716.982#1593671249175.272#114458.2900390625
0#1#5#1#us-east-1#python2.7#704#scale71121683#23e31412-137a-436c-b23a-e9a903e025ff#23e31412-137a-436c-b23a-e9a903e025ff#sandbox-root-Xc7Upn#sandbox-fe594f#169.254.5.189#3.236.115.114#169.254.76.1#622.38,1222.71#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593671081913.0771#1593671134405.3708#52492.293701171875#1593671134653.535#1593671249192.538#114539.00317382812
1#1#1#0#us-east-1#python2.7#896#scale71252669#3aa241ab-ae91-474a-b43e-38940a4e3aa4#3aa241ab-ae91-474a-b43e-38940a4e3aa4#sandbox-root-XvczWq#sandbox-17a6ad#169.254.157.117#3.226.251.196#169.254.76.1#2280.72,4532.85#2,Intel(;R) Xeon(;R) Process;or; @ 2.50GHz#1593671202320.81#1593671255639.491#53318.680908203125#1593671255476.114#1593671370514.636#115038.52197265625
1#1#5#1#us-east-1#python2.7#832#scale71373888#c025d838-9a08-4419-8ace-2e3f6cbdcd13#c025d838-9a08-4419-8ace-2e3f6cbdcd13#sandbox-root-pplzeG#sandbox-c150d5#169.254.88.213#52.200.241.9#169.254.76.1#1730.02,3433.30#2,Intel(R); Xeon(R); Processor; @; 2.50GHz#1593671332091.6409#1593671385203.701#53112.06005859375#1593671385743.659#1593671500050.2168#114306.55786132812
1#1#5#2#us-east-1#python2.7#2560#scale71376755#c23d041f-c4dd-4782-97af-43a70899f672#c23d041f-c4dd-4782-97af-43a70899f672#sandbox-root-NvwYcF#sandbox-6e5762#169.254.196.45#18.209.50.47#169.254.76.1#3396.90,6738.98#2,Intel(R;) Xeon(R;) Processo;r ;@ 2.50GHz#1593671332060.376#1593671385245.462#53185.0859375#1593671385722.709#1593671500044.678#114321.96899414062
1#1#5#0#us-east-1#python2.7#2496#scale71371287#b757745c-213c-463e-9c7a-322d9a1674cf#b757745c-213c-463e-9c7a-322d9a1674cf#sandbox-root-DaOfIl#sandbox-483e62#169.254.107.157#3.235.197.17#169.254.76.1#4163.33,8271.79#2,Intel(;R) Xeon(;R) Process;or; @ 2.50GHz#1593671332431.633#1593671385164.7551#52733.1220703125#1593671385652.322#1593671500052.389#114400.06689453125
1#1#5#4#us-east-1#python2.7#256#scale71381978#f729a29d-8e3a-4663-ac08-85809d654335#f729a29d-8e3a-4663-ac08-85809d654335#sandbox-root-biVySf#sandbox-eaa854#169.254.147.53#3.231.218.5#169.254.76.1#3544.44,7078.95#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593671332178.082#1593671385304.488#53126.406005859375#1593671385736.226#1593671500076.865#114340.63891601562
1#1#5#3#us-east-1#python2.7#1024#scale71379520#5388ed44-9d29-4768-8e9c-9f7c626e8a25#5388ed44-9d29-4768-8e9c-9f7c626e8a25#sandbox-root-sd9T0o#sandbox-9d128d#169.254.243.141#3.228.6.110#169.254.76.1#2517.34,5001.77#2,Intel(R;) Xeon(R;) Processo;r ;@ 2.50GHz#1593671332298.524#1593671385317.819#53019.295166015625#1593671385781.4382#1593671500097.5598#114316.12158203125