0#1#2#1#us-east-1#python3.7#128#coldstart45124336#6a782b5a-a86f-4743-be95-b22e78abd3cf#6a782b5a-a86f-4743-be95-b22e78abd3cf#sandbox-root-aSbtsl#sandbox-service-b84e9f#169.254.85.29#b'3.237.4.72'#169.254.76.1#928.78;1852.61#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545097470.4802#1596545132082.2712#34611.791015625#1596545127439.548#1596545351213.474#223773.92602539062
0#1#2#0#us-east-1#python3.7#128#coldstart45121456#e0dc859f-73fe-4fad-abb6-252c961f6b03#e0dc859f-73fe-4fad-abb6-252c961f6b03#sandbox-root-qPp2vn#sandbox-service-8e0ad3#169.254.15.137#b'18.232.105.19'#169.254.76.1#1229.74;2454.82#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545095112.6455#1596545132115.0393#37002.393798828125#1596545127350.133#1596545351348.5159#223998.3828125
0#2#2#0#us-east-1#python3.7#128#coldstart45121456#25143c89-db7f-4054-98ff-806bda8fd3de#af0db8e5-bd8e-4bfc-b1da-3d218068f1c5#sandbox-root-cvyETn#sandbox-service-1945d9#169.254.135.101#b'34.237.220.253'#169.254.76.1#1527.44;3037.41#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545320667.7456#1596545356713.672#36045.926513671875#1596545351716.2559#1596545574446.924#222730.66821289062
0#2#2#1#us-east-1#python3.7#128#coldstart45124336#6a782b5a-a86f-4743-be95-b22e78abd3cf#54d82866-a680-4fc8-af42-afadf8fef1b2#sandbox-root-aSbtsl#sandbox-service-b84e9f#169.254.85.29#b'3.237.4.72'#169.254.76.1#1153.34;2299.20#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545317634.2947#1596545356631.7268#38997.43212890625#1596545351708.313#1596545574455.686#222747.373046875
0#1#2#1#us-east-1#python3.7#3008#coldstart45578805#03c213b1-b3c1-47cc-bea2-1b69bbc1967a#03c213b1-b3c1-47cc-bea2-1b69bbc1967a#sandbox-root-q5LT8Z#sandbox-service-33adc6#169.254.36.101#b'3.236.220.70'#169.254.76.1#2345.65;4650.42#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545548010.8032#1596545586574.3042#38563.5009765625#1596545581561.545#1596545804198.664#222637.119140625
0#1#2#0#us-east-1#python3.7#3008#coldstart45576211#173568ea-1c8e-4fca-9662-efd80039da96#173568ea-1c8e-4fca-9662-efd80039da96#sandbox-root-TWbLar#sandbox-service-cc7a1c#169.254.95.93#b'54.83.149.21'#169.254.76.1#2976.12;5912.63#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545548570.1287#1596545586642.0173#38071.888671875#1596545581526.526#1596545804288.969#222762.44311523438
0#2#2#0#us-east-1#python3.7#3008#coldstart45576211#eed0786f-546a-41a0-879f-7a99804d923f#d68d6923-6c51-4580-b1a8-48ea3ee0e3a3#sandbox-root-cc8JHh#sandbox-service-29dbfc#169.254.117.29#b'3.236.252.135'#169.254.76.1#2645.48;5150.61#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545771338.8262#1596545809594.5955#38255.769287109375#1596545804799.0962#1596546027147.469#222348.37280273438
0#2#2#1#us-east-1#python3.7#3008#coldstart45578805#f832601b-6b1b-41db-a689-849dfbe441e3#25b0816d-34af-4a4a-b799-2518866be47a#sandbox-root-flw4jZ#sandbox-service-0c92cb#169.254.189.229#b'34.200.245.33'#169.254.76.1#3310.59;6362.56#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596545774756.649#1596545809665.3062#34908.6572265625#1596545804803.161#1596546027223.285#222420.1240234375
1#1#2#1#us-east-1#python3.7#128#coldstart46031273#5aa36ce2-dcbe-4719-9e5e-ac5bd580ce44#5aa36ce2-dcbe-4719-9e5e-ac5bd580ce44#sandbox-root-Na4TQp#sandbox-service-a20f77#169.254.83.61#b'18.206.100.137'#169.254.76.1#1034.56;2064.48#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546002568.5144#1596546039122.4956#36553.981201171875#1596546034076.445#1596546258256.135#224179.68994140625
1#1#2#0#us-east-1#python3.7#128#coldstart46028835#2b31ba01-2f06-4d8b-80cb-6e3cb9d7e3de#2b31ba01-2f06-4d8b-80cb-6e3cb9d7e3de#sandbox-root-XFElcP#sandbox-service-1719f7#169.254.132.133#b'18.205.149.99'#169.254.76.1#987.18;1969.11#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546000962.0781#1596546039194.0925#38232.014404296875#1596546034071.844#1596546258339.624#224267.78002929688
1#2#2#0#us-east-1#python3.7#128#coldstart46028835#98b14370-0b86-4a63-8121-90ef0fd34678#50d366ed-c5a8-4840-a25e-c0757a82b3ea#sandbox-root-LXt0PY#sandbox-service-e90afe#169.254.31.61#b'3.235.176.196'#169.254.76.1#979.66;1941.56#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546225070.1716#1596546263568.833#38498.661376953125#1596546258632.632#1596546481331.1418#222698.509765625
1#2#2#1#us-east-1#python3.7#128#coldstart46031273#5aa36ce2-dcbe-4719-9e5e-ac5bd580ce44#b7e8c058-4bec-4f00-b16e-2cca84bec2bc#sandbox-root-Na4TQp#sandbox-service-a20f77#169.254.83.61#b'18.206.100.137'#169.254.76.1#1259.16;2510.71#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546227461.2236#1596546263730.067#36268.84326171875#1596546258663.412#1596546481441.74#222778.32788085938
1#1#2#0#us-east-1#python3.7#3008#coldstart46483023#917c5895-11b7-4968-ad8b-46cc47214f5b#917c5895-11b7-4968-ad8b-46cc47214f5b#sandbox-root-kAdWGX#sandbox-service-657727#169.254.18.189#b'52.204.23.105'#169.254.76.1#670.38;1302.21#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546456005.524#1596546493372.19#37366.666015625#1596546488406.874#1596546711017.221#222610.34692382812
1#1#2#1#us-east-1#python3.7#3008#coldstart46485589#306dcf0b-0a07-4b06-b887-107b2677bbbe#306dcf0b-0a07-4b06-b887-107b2677bbbe#sandbox-root-6ejWOE#sandbox-service-c5b782#169.254.14.21#b'3.236.58.129'#169.254.76.1#2979.69;5921.81#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546457425.8494#1596546493393.2356#35967.38623046875#1596546488414.764#1596546711022.5889#222607.82495117188
1#2#2#0#us-east-1#python3.7#3008#coldstart46483023#24f22bb2-ec7f-452c-a4d6-54e696e27814#1a7c07c0-302a-4247-ba12-ae170cba993e#sandbox-root-qiPZhD#sandbox-service-405993#169.254.18.141#b'3.236.211.77'#169.254.76.1#1573.65;3008.64#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546679333.7512#1596546716313.1719#36979.420654296875#1596546711321.947#1596546933791.4888#222469.54174804688
1#2#2#1#us-east-1#python3.7#3008#coldstart46485589#d6c47b8d-9d11-4e77-89f6-95072c0bed55#43a50e5e-628e-4de0-afa5-499d5cdf0899#sandbox-root-PrjoOM#sandbox-service-786342#169.254.28.13#b'34.200.255.225'#169.254.76.1#1077.43;2014.45#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1596546677415.9146#1596546716349.507#38933.592529296875#1596546711353.038#1596546933934.206#222581.16796875